Region,District,License-Number,Facility-Name,Facility-Type,Facility-Address-1,Facility-Address-2,Facility-Address-3,Max-Number-of-Children,Max-Number-of-Infants,Max-Number-of-Preschool-Aged-Children,Max-Number-of-School-Age-Children,Language-of-Service,Operator-Id,Designated-Facility
Region 3 - Fredericton,Anglophone West School District,2020048,Go-Go Preschool Maple Street,Full-time Centre,"318 Maple Street, Fredericton",NB,E3A 3R4,60,0,30,30,English,237166,1
Region 2 - Saint John,Anglophone South School District,2020053,Go-Go After School Saint Rose School,Part-time Centre,"700 Manawagonish Road, Saint John",NB,E2M 3W5,30,0,0,30,English,237166,0
Region 3 - Fredericton,Anglophone West School District,2020054,Go-Go After School Woodstock Road,Full-time Centre,"861 Woodstock Road, Fredericton",NB,E3B 7R7,30,0,0,30,English,237166,0
Region 3 - Fredericton,Anglophone West School District,2020055,Go-Go Preschool and After School Woodstock Road,Full-time Centre,"861 Woodstock Road, Fredericton",NB,E3B 7R7,60,0,30,30,English,237166,1
Region 3 - Fredericton,Anglophone West School District,2020056,Miss Tina's Little Treasures Childcare,Full-time Centre,"541 East Riverside Drive, Perth-Andover",NB,E7H 1Y4,57,6,44,10,English,255544,1
Region 1 - Moncton,Anglophone East School District,2020058,Wee College Amirault 1,Part-time Centre,"281 Amirault Street, Dieppe",NB,E1A 1G1,46,0,0,46,English,240156,0
Region 1 - Moncton,Anglophone East School District,2020059,Wee College Amirault 2,Part-time Centre,"281 Amirault Street, Dieppe",NB,E1A 1G1,30,0,0,30,English,240156,0
Region 3 - Fredericton,Anglophone West School District,2020060,Play With Purpose Childcare,Home,"87 Burnham Court, Fredericton",NB,E3B 5T8,6,2,3,1,English,267968,1
Region 3 - Fredericton,Anglophone West School District,2020076,Rainbow of Cultures Childcare Centre,Full-time Centre,"28 Saunders Street, Fredericton",NB,E3B 1N1,49,0,46,32,English,268743,1
Region 1 - Moncton,District scolaire francophone Sud,2020077,Le Centre éducatif des aventuriers limitée,Full-time Centre,"531 La Montain Chemin, Memramcook",NB,E4K 1H1,33,6,27,0,French,268955,1
Region 2 - Saint John,Anglophone South School District,2020078,Belleisle After School Program Saint John Boys & Girls Club,Part-time Centre,"1775 124 Route, Springfield,Kings County",NB,E5T 2K1,21,0,0,21,English,236690,0
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2020081,Garderie La P'tite Récré,Home,"10 Rita Smith Rue, Saint-Basile",NB,E7C 1J8,9,0,5,9,French,269577,1
Region 3 - Fredericton,Anglophone West School District,2020082,Tobique First Nation Headstart,Full-time Centre,"13104 105 Route, Tobique First Nation",NB,E7H 3Y2,32,0,32,0,English,269730,1
Region 3 - Fredericton,Anglophone West School District,2020083,Harvey's Little Explorers Daycare,Full-time Centre,"2306 3 Route, Harvey",NB,E6K 2P2,14,0,14,0,English,270214,1
Region 3 - Fredericton,Anglophone West School District,2020084,Cedar Brook Forest School,Full-time Centre,"3532 Woodstock Road, Fredericton",NB,E3E 1C9,54,0,24,30,English,268698,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2020086,Garderie Centre Éducatif Le Palais du Plaisir Inc.,Full-time Centre,"15 Valcourt Rue, Saint-Quentin",NB,E8A 2B5,59,6,24,29,French,270437,1
Region 1 - Moncton,Anglophone East School District,2020093,Garderie Snoopy Daycare Ltd.,Part-time Centre,"417 St George Boulevard, Moncton",NB,E1C 1X5,59,0,0,59,English,271973,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2020095,Garderie Bourgeoys 2,Home,"248 Marguerite-Bourgeoys Rue, Caraquet",NB,E1W 1A4,9,0,0,9,French,95902,0
Region 2 - Saint John,Anglophone South School District,2020103,Mini Blossoms Learning Centre,Full-time Centre,"12 Greystone Drive, Quispamsis",NB,E2G 0J1,15,0,15,0,English,272097,1
Region 2 - Saint John,Anglophone South School District,2020104,Little Blossoms Learning Centre,Full-time Centre,"86 Meenans Cove Road, Quispamsis",NB,E2E 1M7,60,6,24,30,English,272097,1
Region 2 - Saint John,Anglophone South School District,2020107,Go-Go After School Sussex Corner,Part-time Centre,"12 Dutch Valley Road, Sussex Corner",NB,E4E 2Y1,45,0,0,45,English,237166,0
Region 1 - Moncton,Anglophone East School District,2020112,Treesong Learning Studio,Home,"27 Glastonbury Drive, Moncton",NB,E1A 8M3,9,0,5,9,English,273840,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2020114,Halte scolaire Entramis 2020,Part-time Centre,"963 Principale Rue, Beresford",NB,E8K 1M7,30,0,0,30,French,254999,0
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2020119,Halte Scolaire Éducation Sécurité Confiance (ESC),Part-time Centre,"689 Éverard H. Daigle Boulevard, Grand-Sault/Grand Falls",NB,E3Z 3C5,60,0,0,60,French,276955,0
Region 3 - Fredericton,Anglophone West School District,2020120,Creative Childcare on Killarney Afterschool and Preschool Inc.,Full-time Centre,"258 148 Route, Killarney Road",NB,E3G 9E2,30,0,15,15,English,236846,1
Region 4 - Bathurst,Anglophone North School District,2020122,Campbellton Wee Care 2 Early Learning Center,Full-time Centre,"11 Aberdeen Street, Campbellton",NB,E3N 2J3,54,0,24,30,English,255147,1
Region 2 - Saint John,Anglophone South School District,2020129,Pennfield Early Learning Center,Full-time Centre,"81 176 Route, Pennfield",NB,E5H 1V3,33,6,27,14,English,281074,1
Region 2 - Saint John,Anglophone South School District,2021002,BLG Forest Of Dreams Daycare,Full-time Centre,"1 Baxter Road, Saint John",NB,E2H 2V5,60,6,39,15,English,282537,1
Region 2 - Saint John,Anglophone South School District,2021003,Brother Bear's Daycare,Full-time Centre,"218 820 Route, Upper Loch Lomond",NB,E2S 2H9,41,3,23,15,English,282553,1
Region 1 - Moncton,Anglophone East School District,2021005,DCS Kids Daycare,Full-time Centre,"11B School Street, Dorchester",NB,E4K 2Z6,30,3,12,15,English,283405,1
Region 3 - Fredericton,Anglophone West School District,2021009,School of Discoveries,Full-time Centre,"150 Cowperthwaite Street, Fredericton",NB,E3A 9Y5,60,6,26,28,English,284130,1
Region 2 - Saint John,Anglophone South School District,2021012,Boulevard Out Of School Club,Full-time Centre,"190-192 Milltown Boulevard, St. Stephen",NB,E3L 1G8,35,0,6,29,English,284206,1
Region 2 - Saint John,Anglophone South School District,2021013,Boulevard Early Learning Centre,Full-time Centre,"174 Milltown Boulevard, St. Stephen",NB,E3L 1G8,48,18,36,11,English,284206,1
Region 2 - Saint John,Anglophone South School District,2021016,The Woods 016,Full-time Centre,"193 Pettingill Road, Quispamsis",NB,E2E 4R2,40,0,40,0,English,261880,1
Region 3 - Fredericton,Anglophone West School District,2021017,School Street Afterschool Program,Full-time Centre,"201 School Street, Woodstock",NB,E7M 0G7,22,0,0,22,English,253268,0
Region 1 - Moncton,District scolaire francophone Sud,2021018,Garderie univers d'enfants 3,Part-time Centre,"329 Ryan Rue, Moncton",NB,E1G 2W2,60,0,0,60,French,239629,0
Region 1 - Moncton,District scolaire francophone Sud,2021019,Garderie univers d'enfants 4,Part-time Centre,"329 Ryan Rue, Moncton",NB,E1G 2W2,45,0,0,45,French,239629,0
